INFO: [2021-02-05 23:03:40] genewalk.resources - Using /Users/yizhouyu/genewalk/resources as resource folder.
WARNING: [2021-02-05 23:03:41] genewalk.gene_lists - Could not get HGNC name for ID "","HGNCID"
INFO: [2021-02-06 01:28:04] genewalk.deepwalk - Walks for 6300/44205 nodes complete in 101.51s
INFO: [2021-02-06 01:28:05] genewalk.deepwalk - Walks for 6400/44205 nodes complete in 102.47s
INFO: [2021-02-06 01:28:06] genewalk.deepwalk - Walks for 6500/44205 nodes complete in 103.22s
INFO: [2021-02-06 01:28:07] genewalk.deepwalk - Walks for 6600/44205 nodes complete in 104.03s
INFO: [2021-02-06 01:28:08] genewalk.deepwalk - Walks for 6700/44205 nodes complete in 105.50s
INFO: [2021-02-06 01:28:10] genewalk.deepwalk - Walks for 6800/44205 nodes complete in 107.11s
INFO: [2021-02-06 01:28:11] genewalk.deepwalk - Walks for 6900/44205 nodes complete in 108.69s
INFO: [2021-02-06 01:28:13] genewalk.deepwalk - Walks for 7000/44205 nodes complete in 110.18s
INFO: [2021-02-06 01:28:14] genewalk.deepwalk - Walks for 7100/44205 nodes complete in 111.49s
INFO: [2021-02-06 01:28:15] genewalk.deepwalk - Walks for 7200/44205 nodes complete in 112.80s
INFO: [2021-02-06 01:28:17] genewalk.deepwalk - Walks for 7300/44205 nodes complete in 114.05s
INFO: [2021-02-06 01:28:17] genewalk.deepwalk - Walks for 7400/44205 nodes complete in 114.87s
INFO: [2021-02-06 01:28:18] genewalk.deepwalk - Walks for 7500/44205 nodes complete in 115.73s
INFO: [2021-02-06 01:28:19] genewalk.deepwalk - Walks for 7600/44205 nodes complete in 116.61s
INFO: [2021-02-06 01:28:20] genewalk.deepwalk - Walks for 7700/44205 nodes complete in 117.87s
INFO: [2021-02-06 01:28:21] genewalk.deepwalk - Walks for 7800/44205 nodes complete in 118.41s
INFO: [2021-02-06 01:28:22] genewalk.deepwalk - Walks for 7900/44205 nodes complete in 119.39s
INFO: [2021-02-06 01:28:23] genewalk.deepwalk - Walks for 8000/44205 nodes complete in 120.11s
INFO: [2021-02-06 01:28:23] genewalk.deepwalk - Walks for 8100/44205 nodes complete in 120.99s
INFO: [2021-02-06 01:28:24] genewalk.deepwalk - Walks for 8200/44205 nodes complete in 121.70s
INFO: [2021-02-06 01:28:25] genewalk.deepwalk - Walks for 8300/44205 nodes complete in 122.25s
INFO: [2021-02-06 01:28:26] genewalk.deepwalk - Walks for 8400/44205 nodes complete in 123.15s
INFO: [2021-02-06 01:28:26] genewalk.deepwalk - Walks for 8500/44205 nodes complete in 123.51s
INFO: [2021-02-06 01:28:26] genewalk.deepwalk - Walks for 8600/44205 nodes complete in 123.82s
INFO: [2021-02-06 01:28:27] genewalk.deepwalk - Walks for 8700/44205 nodes complete in 124.34s
INFO: [2021-02-06 01:28:28] genewalk.deepwalk - Walks for 8800/44205 nodes complete in 125.02s
INFO: [2021-02-06 01:28:29] genewalk.deepwalk - Walks for 8900/44205 nodes complete in 126.03s
INFO: [2021-02-06 01:28:29] genewalk.deepwalk - Walks for 9000/44205 nodes complete in 126.70s
INFO: [2021-02-06 01:28:30] genewalk.deepwalk - Walks for 9100/44205 nodes complete in 127.39s
INFO: [2021-02-06 01:28:30] genewalk.deepwalk - Walks for 9200/44205 nodes complete in 127.89s
INFO: [2021-02-06 01:28:31] genewalk.deepwalk - Walks for 9300/44205 nodes complete in 128.99s
INFO: [2021-02-06 01:28:33] genewalk.deepwalk - Walks for 9400/44205 nodes complete in 130.25s
INFO: [2021-02-06 01:28:34] genewalk.deepwalk - Walks for 9500/44205 nodes complete in 131.03s
INFO: [2021-02-06 01:28:35] genewalk.deepwalk - Walks for 9600/44205 nodes complete in 132.21s
INFO: [2021-02-06 01:28:35] genewalk.deepwalk - Walks for 9700/44205 nodes complete in 132.84s
INFO: [2021-02-06 01:28:36] genewalk.deepwalk - Walks for 9800/44205 nodes complete in 133.67s
